"Date";"Open";"Close";"High";"Low";"Stochastic Oscillator";"RSI Move";"Target";"Wiki_Move";"Wiki_MA3_Move";"Wiki_EMA5_Move";"Wiki_RSI_Move";"Wiki_5day_Disparity";"Wiki_5day_Disparity_Move";"Wiki_3day_Disparity";"Google_EMA5_Move";"Google_MA_6";"Google_Move";"Google_3day_Disparity_Move";"Google_RSI_Move";"Google_ROC_Move"
2015-11-05;121,850221109183;116,834602;122,689861125866;120,179637002343;49,0498157150503;0;"0";"0";"0";"0";"0";0,999319510047234;"0";0,999933244325768;"0";1;"0";"0";"0";"0"
2015-11-06;121,110101173469;116,969872;121,809640151886;120,620230645766;47,3075356076428;1;"0";"1";"1";"1";"1";1,27541555357673;"1";1,21738873804746;"0";0,833333333333333;"0";"0";"1";"NaN"
2015-11-09;120,960337948992;116,496429;121,809640106171;120,050164306146;27,6366400209085;0;"0";"0";"0";"0";"0";0,891453923374817;"0";0,856472004816376;"0";0,5;"0";"NaN";"0";"NaN"
2015-11-10;116,900307843906;112,824814;118,070393082103;116,059701603418;-11,8544095390556;0;"0";"1";"0";"0";"1";0,897843359818388;"1";0,870133838538165;"0";0,333333333333333;"0";"NaN";"1";"NaN"
2015-11-11;116,369858831032;112,187119;117,420133547273;115,210401922579;-18,3418138626171;0;"0";"0";"0";"0";"0";0,862042239875993;"0";0,957666642749516;"0";0,333333333333333;"0";"NaN";"0";"NaN"
2015-11-12;116,25970989989;111,810295;116,82011406978;115,650028811614;-22,1753230587401;0;"0";"1";"0";"0";"1";0,915050639868101;"1";1,00930937432345;"1";0,166666666666667;"1";"NaN";"1";"1"
2015-11-13;115,199765025913;108,544479;115,569824995089;112,270204121104;-32,2584554713245;0;"0";"0";"0";"0";"0";0,923238788303889;"1";0,948435037153794;"1";0,333333333333333;"0";"0";"0";"NaN"
2015-11-16;111,380331449685;110,322327;114,240325213216;110,99964309062;-5,28320722108419;1;"1";"1";"1";"1";"1";2,65812120897921;"1";2,09396589864888;"0";0,333333333333333;"0";"0";"0";"NaN"
2015-11-17;114,919574758473;109,848885;115,050013664394;113,31952417918;-8,97615387893591;0;"1";"0";"1";"0";"0";0,686894441611423;"0";0,5368494470092;"1";0,5;"1";"1";"1";"NaN"
2015-11-18;115,7601740355;113,327248;117,489697201929;115,500262453506;18,1558052958837;1;"1";"0";"1";"0";"0";0,617469120241997;"0";0,477237303545915;"1";0,666666666666667;"0";"0";"0";"NaN"
2015-11-19;117,640435803977;114,766914;119,749681260883;116,760214726909;29,3855013159299;1;"1";"0";"0";"0";"0";0,606425702811245;"0";0,958793571003373;"1";0,833333333333333;"0";"0";"1";"0"
2015-11-20;119,199904161478;115,269348;119,919733684533;118,850134648261;33,3045916397521;1;"1";"0";"0";"0";"0";0,562585627101756;"0";0,951080853453116;"0";0,666666666666667;"0";"0";"0";"0"
2015-11-23;119,270430236484;113,771706;119,730348130803;117,339934537223;21,6226706894386;0;"0";"0";"0";"0";"0";0,917671517671518;"1";0,962144881203226;"1";0,666666666666667;"1";"1";"1";"1"
2015-11-24;117,330272403397;114,863525;119,349659796635;117,119637737499;33,0522655585237;1;"1";"1";"0";"0";"1";1,01715895509647;"1";1,04387822150836;"1";0,833333333333333;"0";"0";"0";"0"
2015-11-25;119,209566097311;114,042252;119,229856593899;117,919670242783;28,1462510316697;0;"0";"0";"0";"0";"0";0,92195615811251;"0";0,940010471987434;"0";0,666666666666667;"0";"0";"0";"0"
2015-11-27;118,28972721064;113,829681;118,409537758841;117,599850344382;26,17982137561;0;"0";"0";"0";"0";"0";0,865273475426511;"0";0,88431249015593;"0";0,5;"0";"0";"0";"NaN"
